COMPANY,DEPARTMENT,Month,Wage,Date
TINY BEES CREDIT KENYA LIMITED,SUPPORT,JANUARY,2044420.77,January-25
TINY BEES CREDIT KENYA LIMITED,SHARED,JANUARY,890405.95,January-25
TINY BEES CREDIT KENYA LIMITED,SALES,JANUARY,1075000.00,January-25
TINY BEES CREDIT KENYA LIMITED,NSSF,JANUARY,59280.00,January-25
TINY BEES CREDIT KENYA LIMITED,NITA (KSH 50 Per employee),JANUARY,2950.00,January-25
TINY BEES CREDIT KENYA LIMITED,HOUSING LEVY,JANUARY,    ,January-25
MIB,SHARED,JANUARY,170000.00,January-25
MIB,BANK SUPPORT,JANUARY,987284.00,January-25
MIB,SACCO,JANUARY,444050.00,January-25
MIB,KASHMOBILE,JANUARY,79371.14,January-25
MIB,TIFI,JANUARY,78333.33,January-25
MIB,NSSF,JANUARY,11880.00,January-25
MIB,NITA (KSH 50 Per employee),JANUARY,650.00,January-25
MIB,HOUSING LEVY,JANUARY,    ,January-25
CHOICE MICROFINANCE BANK,GROSS,JANUARY,1420021.33,January-25
CHOICE MICROFINANCE BANK,NSSF,JANUARY,21600.00,January-25
CHOICE MICROFINANCE BANK,NITA (KSH 50 Per employee),JANUARY,1000.00,January-25
CHOICE MICROFINANCE BANK,PENSION,JANUARY,33500.00,January-25
CHOICE MICROFINANCE BANK,HOUSING LEVY,JANUARY,    ,January-25
CHOICE MICROFINANCE BANK,SEPARATE PAYMENTS,JANUARY,,January-25
CHOICE MICROFINANCE BANK,HENRY OZIANYI,JANUARY,52631.00,January-25
CHOICE MICROFINANCE BANK,RAPHAEL SHIRIMA,JANUARY,120000.00,January-25
CHOICE MICROFINANCE BANK,NICK HAGREAVES,JANUARY,    ,January-25
CHOICE MICROFINANCE BANK,PATRICK RUSSELL ,JANUARY,    ,January-25
TINY BEES CREDIT KENYA LIMITED,SUPPORT,FEBRUARY,1705696.70,February-25
TINY BEES CREDIT KENYA LIMITED,SHARED,FEBRUARY,457653.78,February-25
TINY BEES CREDIT KENYA LIMITED,SALES,FEBRUARY,1043000.00,February-25
TINY BEES CREDIT KENYA LIMITED,NSSF,FEBRUARY,101524.44,February-25
TINY BEES CREDIT KENYA LIMITED,NITA (KSH 50 Per employee),FEBRUARY,2850.00,February-25
TINY BEES CREDIT KENYA LIMITED,HOUSING LEVY,FEBRUARY,    ,February-25
MIB,SHARED,FEBRUARY,170000.00,February-25
MIB,BANK SUPPORT,FEBRUARY,805000.00,February-25
MIB,SACCO,FEBRUARY,315700.00,February-25
MIB,KASHMOBILE,FEBRUARY,    ,February-25
MIB,TIFI,FEBRUARY,    ,February-25
MIB,NSSF,FEBRUARY,10440.00,February-25
MIB,NITA (KSH 50 Per employee),FEBRUARY,600.00,February-25
MIB,HOUSING LEVY,FEBRUARY,    ,February-25
CHOICE MICROFINANCE BANK,GROSS,FEBRUARY,1404666.67,February-25
CHOICE MICROFINANCE BANK,NSSF,FEBRUARY,41220.00,February-25
CHOICE MICROFINANCE BANK,NITA (KSH 50 Per employee),FEBRUARY,1050.00,February-25
CHOICE MICROFINANCE BANK,PENSION,FEBRUARY,30000.00,February-25
CHOICE MICROFINANCE BANK,HOUSING LEVY,FEBRUARY,    ,February-25
CHOICE MICROFINANCE BANK,SEPARATE PAYMENTS,FEBRUARY,,February-25
CHOICE MICROFINANCE BANK,HENRY OZIANYI,FEBRUARY,52631.00,February-25
CHOICE MICROFINANCE BANK,RAPHAEL SHIRIMA,FEBRUARY,120000.00,February-25
CHOICE MICROFINANCE BANK,NICK HAGREAVES,FEBRUARY,    ,February-25
CHOICE MICROFINANCE BANK,PATRICK RUSSELL ,FEBRUARY,    ,February-25
TINY BEES CREDIT KENYA LIMITED,SUPPORT,MARCH,1709096.70,March-25
TINY BEES CREDIT KENYA LIMITED,SHARED,MARCH,472653.78,March-25
TINY BEES CREDIT KENYA LIMITED,SALES,MARCH,880500.00,March-25
TINY BEES CREDIT KENYA LIMITED,NSSF,MARCH,100006.44,March-25
TINY BEES CREDIT KENYA LIMITED,NITA (KSH 50 Per employee),MARCH,,March-25
TINY BEES CREDIT KENYA LIMITED,HOUSING LEVY,MARCH,43083.76,March-25
MIB,SHARED,MARCH,135000.00,March-25
MIB,BANK SUPPORT,MARCH,866666.67,March-25
MIB,SACCO,MARCH,317500.00,March-25
MIB,KASHMOBILE,MARCH,    ,March-25
MIB,TIFI,MARCH,    ,March-25
MIB,NSSF,MARCH,16920.00,March-25
MIB,NITA (KSH 50 Per employee),MARCH,650.00,March-25
MIB,HOUSING LEVY,MARCH,14237.50,March-25
CHOICE MICROFINANCE BANK,GROSS,MARCH,1347000.00,March-25
CHOICE MICROFINANCE BANK,NSSF,MARCH,39780.00,March-25
CHOICE MICROFINANCE BANK,NITA (KSH 50 Per employee),MARCH,1000.00,March-25
CHOICE MICROFINANCE BANK,PENSION,MARCH,24250.00,March-25
CHOICE MICROFINANCE BANK,HOUSING LEVY,MARCH,20205.00,March-25
CHOICE MICROFINANCE BANK,SEPARATE PAYMENTS,MARCH,,March-25
CHOICE MICROFINANCE BANK,HENRY OZIANYI,MARCH,78947.38,March-25
CHOICE MICROFINANCE BANK,RAPHAEL SHIRIMA,MARCH,127936.80,March-25
CHOICE MICROFINANCE BANK,NICK HAGREAVES,MARCH,    ,March-25
CHOICE MICROFINANCE BANK,PATRICK RUSSELL ,MARCH,    ,March-25
TINY BEES CREDIT KENYA LIMITED,SUPPORT,APRIL,2331947.84,April-25
TINY BEES CREDIT KENYA LIMITED,SHARED,APRIL,747688.44,April-25
TINY BEES CREDIT KENYA LIMITED,SALES,APRIL,1102700.00,April-25
TINY BEES CREDIT KENYA LIMITED,NSSF,APRIL,117510.42,April-25
TINY BEES CREDIT KENYA LIMITED,NITA (KSH 50 Per employee),APRIL,3350.00,April-25
TINY BEES CREDIT KENYA LIMITED,HOUSING LEVY,APRIL,57321.06,April-25
MIB,SHARED,APRIL,135000.00,April-25
MIB,BANK SUPPORT,APRIL,1386788.50,April-25
